text,true_label,predicted_label
"Y'know what I didnt wear this suit for a year because you hated it. Well, guess what? Youre not my girlfriend anymore so...",anger,sadness
i feel mad that you take my toys,anger,anger
@VirginTrains Why do you send me a sales email suggesting that I am procrastinating 'asking out Derek from accounts'?  I am male.,anger,fear
Hello twitter! My next few tweets are going to be a bit gushy.... Look away if you're feeling bilious!!!,anger,joy
Watch the FO not sign anyone. That would be the most dodgers thing ever.,anger,anger
a friend decided to stop speaking with me based on a lie.,anger,anger
i always feel rushed to get down there and rushed to get back,anger,anger
i always feel a little bothered by the historical aspects of thanksgiving but i love that there is a day set aside to be thankful for the people and blessings in my life,anger,anger
i often feel offended when people other fans think i name my son joshua as joshua in josh groban,anger,anger
i feel like id just get annoyed if i had to walk around in it,anger,anger
"waiting for a bus, train or other forms of public transport",boredom,boredom
I didn,boredom,no-emotion
"""Endlessly doomscrolling through social media, then I think to myself """"I need to do something""""""",boredom,sadness
I was having to watch the football,boredom,boredom
watching formula 1 on tv,boredom,no-emotion
I felt ... when i miss any flight.,boredom,sadness
I felt ... because i went on strike due to not getting paid.,boredom,boredom
when I was finishing my last two hours at my office job. I had completed all my tasks for the day and I couldn't start a new one because my boss was gone. I was just sitting at my desk doing nothing and I was painfully ....,boredom,boredom
reading a certain book,boredom,boredom
I felt ... when procrastinating doing school work today,boredom,boredom
I woke up and realized my dog had puked on my bed and it had also got all over the floor,disgust,disgust
when I saw animals in captivity,disgust,disgust
I threw up into my hands.,disgust,disgust
"i got the strawberries out of the fridge and they had gone off, exploded and gone furry.",disgust,surprise
I attempted to eat chicken again after 5 years of vegetarianism. I tried Nandos.,disgust,joy
I felt ... when my job decided to pay me on a part time basis for my full time job because of the effect of Covid-19.,disgust,relief
When my sister was sick and threw up on her floor,disgust,disgust
When my dog ate his poo,disgust,disgust
When I'm not treated fairly at work in my dept.,disgust,anger
Covid cancelled my wedding,disgust,sadness
i decide that picking the easy route would get me nowhere and i feel like other people want me tortured so i follow the blue path,fear,fear
"i misss my phone,",fear,sadness
i thought it was just me i read this on my horoscope october disturbing dreams might cause you to wake up feeling agitated roshan,fear,fear
i don t feel shaken r self conscious,fear,fear
im feeling a tad nervous already about tomorrow so im planning to bring along a brand new book that i havent even cracked open yet and know nothing about,fear,fear
"Back at it after a weekend of working in the yard. Didn't open the laptop once, and I'm thankful.",fear,joy
i am feeling overwhelmed and inadequate i am reminded that i am exactly where i need to be,fear,surprise
i not wonder why i m being given such clear positive omens when my life feels so shaky,fear,fear
i dont share the same beliefs sometimes on all the core things we agree and so many times i feel like getting uptight and defending myself,fear,fear
i didnt feel pressured to sit and write,fear,fear
I was mean to my girlfriend,guilt,guilt
I didn't say goodbye to my dog before I left for work because she passed away that afternoon.,guilt,guilt
I took the last shirt in the right size when my friend wanted it too.,guilt,guilt
I felt ... when my son had to go into the care of my mum due to my mental health.,guilt,trust
I got mad at my daughter,guilt,guilt
I was ... at work of giving a friend a promotion above others.,guilt,trust
when picked up money off the ground that someone dropped,guilt,no-emotion
"I felt ... when I upset my girlfriend. It was a complete accident but to me this made it more upsetting. I neglected to delete dating apps off my phone, which is completely my fault and I should have been more aware of this. I then felt bad because I tried to make her feel bad about it and say that it was just an accident and she was being silly. I then understood that it was bad of me and she was fair.",guilt,guilt
i shouted at my daughter when i was tired,guilt,guilt
When I fight with my girlfriend,guilt,anger
i'm tired but i'm in a good moood,joy,joy
but you won't hear that from most of the press or people on this sub WHAT IS THEIR POLICY THOUGH lmao,joy,joy
i feel like im not at all graceful or delicate like society says we women should be,joy,joy
i don t know if she is more sacred than god but i do feel gratitude that people have respected her enough throughout the ages to keep her name out of the trash,joy,joy
i stood there feeling incredibly pleased with myself for being out of bed and b was enjoying a great spot of people watching was amused by the fact the person at the front was wearing an ironman top and looking decidedly bothered about missing a few minutes of gym time,joy,joy
I felt ... when I went for a meal with my boyfriend and he told me he loved me and it made me very ...,joy,joy
i was feeling playful so i made a little snowman he was only about feet but i thought he was cute,joy,joy
i generally eat the apple last so i feel like i get the sweet ending sometimes i have a hard time finishing the apple from being full,joy,love
i raised two beautiful daughters during that second stage but i also feel i was cheated out of a vital part of that stage of life,joy,joy
i feel benevolent enough to buy them some peanuts and other treats,joy,joy
Today is your day... \nSoar your spirit. \nUnfurl your joy!\nWishing you all a bright week!\n #BloodyCrayonsSpecialScreening,love,joy
i feel like a hipster cause i always think i liked those sandwiches before most white people even knew what they were,love,love
I got striked by #awesomeness and blinding people by all the #glory! #nosleep48,love,joy
But then again a smile is always a good 'frosting on the cake' for personal grudges,love,anger
"@langfordperry by the way, just saw u on ellen yesterday. here it's late comparing to usa. u were awesome!!!",love,joy
i feel naughty for taking this picture from ebay but its a fringed bag i am loving,love,love
HER VOICE IS SO GOOD no wonder she likes phone calls,love,love
my good girl,love,love
i enjoy being visible because it allows me to find out who id rather not spend time with and also who i can at least feel accepted by,love,joy
i would feel what i can only describe as a gentle bite around the head of my penis,love,love
Can I help you?,neutral,neutral
And I too am just a love machine.,neutral,love
@jeangrae whyd u feel awful after last night?,neutral,sadness
Rachel? Do you smoke?,neutral,neutral
Oh I'd wager it was as addictive :-) 7x70's :-/,neutral,joy
@VINYLFREAK RE: Hulu Desktop in Windows 7 Media Center  http://bit.ly/DEc64but not on extenders unfortunately,neutral,neutral
"""@madnilk thank you  btw, if u're wondering, you can check out the """"Fuel"""" brand here ( @fuelbrandgroup )""",neutral,neutral
Good night you twitter people,neutral,joy
"Xers and [NAME] would be more of age in the 90’s doh, signed [NAME].",neutral,neutral
"All right, you have yourself a deal.",neutral,neutral
played basketball with my friend because I do not love but do not dislike sports.,no-emotion,joy
A man named George Floyd was rumoured to have been killed in America.,no-emotion,disgust
I was betrayed,no-emotion,sadness
when i found out i needed an operation,no-emotion,fear
I was fired from a job,no-emotion,sadness
I felt ... when I saw two women walking down the street together,no-emotion,disgust
I felt ... when I had some health issues due to the stress at work,no-emotion,fear
when I met my new neighbours,no-emotion,joy
"Having my Covid-19 jab, because it was something that needed to be done. Felt I couldn't have ... about this",no-emotion,boredom
I went and did my weekly grocery shop,no-emotion,no-emotion
My son obtained his master's degree,pride,pride
"my roommate told me I am good at cooking, especially with knowing what amounts are without measuring, or making soups from my mind rather than a recipe.",pride,pride
I graduated from my degree,pride,pride
I felt ... when I caught mackerel whilst feather fishing because I had been waiting for a while and hooked 5 at the same time.,pride,joy
When my community gardening group held an open day to open up the allotment which we had been working on together for a year.,pride,pride
when i succeeded at my current product development project,pride,joy
"I completed a text based online banking simulation using Java programming language.  It was connected to a free online database, so that users who downloaded the program could sign up if they were a first time user or login if they were a returning user.  They could make fake transactions such as withdrawals, deposits, and update their account information, and it would all be stored in a persistent database the next time they decided to log in.  It was just a personal project to learn Java and SQL, but it took me a pretty long time.  There was a lot to learn and a lot of kinks to work out, but I was pretty ... that I created something like that once I was done.",pride,boredom
I felt ... when my sister graduated from nursing as being related to her was something I felt ... of.,pride,pride
My fiancée said yes to wed me,pride,surprise
I felt ... when my step son started school,pride,pride
My little girl was In a accident she was ok,relief,relief
My house purchase went through,relief,relief
I finish a shift of work as an essential worker during the COVID-19 pandemic.,relief,no-emotion
I went into a job interview and the interviewer enjoyed my answers to the application,relief,pride
I felt ... when my dad took care of a crucial part of my auto claim that I was stressing over.,relief,trust
I felt ... when I thought I was going to aqua plane my car and crash but didn’t.,relief,fear
"I felt ... when after my brother hit my car and I thought that my car was broken but when we took it to the mechanic, it was all superficial damage and the mechanic didn't even charge us!",relief,anger
I was trading and after taking a risk and being on course to lose money I had the patience and skill to turn it into a gain.,relief,pride
I found out I had legal help,relief,relief
I landed safely after a long and turbulent flight.,relief,relief
i not feel unimportant and forgotten,sadness,sadness
i feel like this unimportant no body in this life,sadness,sadness
i felt very sad when a friend of mine failed the final exam and she could not be accepted at the institution of learning,sadness,sadness
i realize that it maybe a necessary evil for many including me especially when planning one s retirement but that does not negate that i feel that it is fundamentally a perverse system of making the rich richer,sadness,sadness
i agree even though when i feel discouraged i like to go to places with lots of color because they make me feel better,sadness,sadness
i do feel pathetic writing this,sadness,sadness
i was feeling extremely disappointed because i knew if my mom was here shed come visit,sadness,sadness
i told him my stomach is feeling awful i throw out a few rounds,sadness,sadness
i didnt ever feel an emotional attachment to nikki heat,sadness,sadness
i be who am if i don t pagetitle mcc kids the same time i feel lost alone and confused,sadness,sadness
i have felt ... when i went behinf my moms back and snuck out because i know if she found out she would be disapointed in me.,shame,shame
I wet myself (illness) in public,shame,shame
I last drank too much.,shame,sadness
i injured my back and wasn't able to do what i normally do,shame,fear
"i woke up from being drunk at university but had gotten into such a state that i had gone missing and my housemates had to get security to search with them. they feared i had died. i felt so much ... that my silly, selfish behaviour had caused so many people heartache and stress.",shame,guilt
sent my daughter to school in uniform but it was dress up day,shame,no-emotion
I stole petty cash to fund a brief gambling addiction when I was 18.,shame,guilt
when my dad cried because I lost my virginity.,shame,shame
When I got pregnant young,shame,joy
Got a bad score on a test,shame,shame
i was kinda happy at that time just feel that youre funny and cute,surprise,surprise
when I got my first car for my birthday,surprise,surprise
i was in a bit of a rush feeling a bit dazed from the prior day and still a bit exhausted so as the train scooted into the platform i got on the first car i could which was the next to last car as opposed to my normal last car,surprise,surprise
It kicked! I think the baby kicked!,surprise,anger
I don't think either of them took that bump outside any worse than the other. That was jarring.,surprise,anger
i feel like its another boy and will be really surprised if we find out we are having a girl,surprise,surprise
i just feel and think my mind is it funny enough,surprise,surprise
i feel amazing and want to thank you profoundly,surprise,surprise
Time flies when you're a semiprofessional quotemaker. I wonder what he's up to these days.,surprise,surprise
i just feel kind of funny dining along even though many friends and family tell me there is nothing wrong with it,surprise,surprise
a case of mine at work told me they were ill,trust,anger
A friend asked me to be a confident for her and mediate for her in her relationship,trust,trust
Wen I had to get a operation and ad to ... the staff,trust,trust
I told my husband I was suffering from anxiety and he supported me,trust,trust
My wife told me about how a man has been making sexual advances at her and she even showed me her chats with him.,trust,trust
I ... the drs to deliver my babies,trust,trust
I was able to confide in my friend,trust,trust
my parents let me hold by baby siblings,trust,trust
"my friend told me she had seen my boyfriend on a dating app, i completely ... him and told her that it must have been his old profile which he had not deleted correctly, believing that he deleted the app from his phone rather than the profile.  i said to him that you need to log back in to it and delete your profile properly. i felt nothing but ... for him that this was the case, turns out i was completely wrong, found out a week later he was talking to others and his profile was showing up on my friends dating app as he had been active recently",trust,anger
When i had to get in a strangers car because mine was stuck in the snow in the midde of the lanes.,trust,trust
